datafile, filename, generations, threads, average_time
s5e50.in, par_grid, 10, 1, 0.0004962
s5e50.in, par_grid, 10, 2, 0.0009928
s5e50.in, par_grid, 10, 4, 0.0014156
s5e50.in, par_grid, 10, 8, 0.0018768
s20e400.in, par_grid, 500, 1, 1.6347
s20e400.in, par_grid, 500, 2, 1.00439
s20e400.in, par_grid, 500, 4, 0.584987
s20e400.in, par_grid, 500, 8, 0.469477
s50e5k.in, par_grid, 300, 1, 31.698
s50e5k.in, par_grid, 300, 2, 16.1426
s50e5k.in, par_grid, 300, 4, 8.33766
s50e5k.in, par_grid, 300, 8, 4.41077
s150e10k.in, par_grid, 1000, 1, 1.26586
s150e10k.in, par_grid, 1000, 2, 1.01103
s150e10k.in, par_grid, 1000, 4, 0.696636
s150e10k.in, par_grid, 1000, 8, 0.476704
s200e50k.in, par_grid, 1000, 1, 3.94076
s200e50k.in, par_grid, 1000, 2, 2.76586
s200e50k.in, par_grid, 1000, 4, 1.62611
s200e50k.in, par_grid, 1000, 8, 1.00809
s500e300k.in, par_grid, 2000, 1, 22.3895
s500e300k.in, par_grid, 2000, 2, 15.6628
s500e300k.in, par_grid, 2000, 4, 8.55963
s500e300k.in, par_grid, 2000, 8, 5.00069
