datafile, filename, generations, threads, average_time
s5e50.in, par_grid_hash, 10, 1, 0.0007594
s5e50.in, par_grid_hash, 10, 2, 0.002443
s5e50.in, par_grid_hash, 10, 4, 0.0024762
s5e50.in, par_grid_hash, 10, 8, 0.0029016
s20e400.in, par_grid_hash, 500, 1, 5.15285
s20e400.in, par_grid_hash, 500, 2, 5.84424
s20e400.in, par_grid_hash, 500, 4, 3.57706
s20e400.in, par_grid_hash, 500, 8, 2.46776
s50e5k.in, par_grid_hash, 300, 1, 254.871
s50e5k.in, par_grid_hash, 300, 2, 150.541
s50e5k.in, par_grid_hash, 300, 4, 89.1813
s50e5k.in, par_grid_hash, 300, 8, 54.2285
s150e10k.in, par_grid_hash, 1000, 1, 2.92317
s150e10k.in, par_grid_hash, 1000, 2, 3.34006
s150e10k.in, par_grid_hash, 1000, 4, 3.20423
s150e10k.in, par_grid_hash, 1000, 8, 3.20154
s200e50k.in, par_grid_hash, 1000, 1, 11.509
s200e50k.in, par_grid_hash, 1000, 2, 11.4969
s200e50k.in, par_grid_hash, 1000, 4, 11.8907
s200e50k.in, par_grid_hash, 1000, 8, 10.2303
s500e300k.in, par_grid_hash, 2000, 1, 70.203
s500e300k.in, par_grid_hash, 2000, 2, 74.1114
s500e300k.in, par_grid_hash, 2000, 4, 57.8696
s500e300k.in, par_grid_hash, 2000, 8, 63.4373
