datafile, filename, generations, threads, average_time
s5e50.in, par_grid_list, 10, 1, 0.0004456
s5e50.in, par_grid_list, 10, 2, 0.0018902
s5e50.in, par_grid_list, 10, 4, 0.002052
s5e50.in, par_grid_list, 10, 8, 0.0057284
s20e400.in, par_grid_list, 500, 1, 3.80228
s20e400.in, par_grid_list, 500, 2, 4.28835
s20e400.in, par_grid_list, 500, 4, 3.34709
s20e400.in, par_grid_list, 500, 8, 3.26523
s50e5k.in, par_grid_list, 300, 1, 176.863
s50e5k.in, par_grid_list, 300, 2, 151.013
s50e5k.in, par_grid_list, 300, 4, 103.579
s50e5k.in, par_grid_list, 300, 8, 72.611
s150e10k.in, par_grid_list, 1000, 1, 2.58517
s150e10k.in, par_grid_list, 1000, 2, 5.45778
s150e10k.in, par_grid_list, 1000, 4, 7.54257
s150e10k.in, par_grid_list, 1000, 8, 9.29884
s200e50k.in, par_grid_list, 1000, 1, 9.34507
s200e50k.in, par_grid_list, 1000, 2, 14.2587
s200e50k.in, par_grid_list, 1000, 4, 26.0654
s200e50k.in, par_grid_list, 1000, 8, 31.0386
s500e300k.in, par_grid_list, 2000, 1, 52.6641
s500e300k.in, par_grid_list, 2000, 2, 69.08
s500e300k.in, par_grid_list, 2000, 4, 125.004
s500e300k.in, par_grid_list, 2000, 8, 154.664
