datafile, filename, generations, threads, average_time
s5e50.in, par_grid, 10, 1, 0.0095452
s5e50.in, par_grid, 10, 2, 0.0140054
s5e50.in, par_grid, 10, 4, 0.0322624
s5e50.in, par_grid, 10, 8, 0.0081804
s5e50.in, par_grid, 300, 1, 0.0377252
s5e50.in, par_grid, 300, 2, 0.0318386
s5e50.in, par_grid, 300, 4, 0.0624254
s5e50.in, par_grid, 300, 8, 0.0486842
s5e50.in, par_grid, 500, 1, 0.080159
s5e50.in, par_grid, 500, 2, 0.131156
s5e50.in, par_grid, 500, 4, 0.120409
s5e50.in, par_grid, 500, 8, 0.0740282
s5e50.in, par_grid, 1000, 1, 0.149157
s5e50.in, par_grid, 1000, 2, 0.0920552
s5e50.in, par_grid, 1000, 4, 0.160748
s5e50.in, par_grid, 1000, 8, 0.116688
s5e50.in, par_grid, 2000, 1, 0.234411
s5e50.in, par_grid, 2000, 2, 0.236387
s5e50.in, par_grid, 2000, 4, 0.296634
s5e50.in, par_grid, 2000, 8, 0.184622
s20e400.in, par_grid, 10, 1, 0.0127262
s20e400.in, par_grid, 10, 2, 0.0197752
s20e400.in, par_grid, 10, 4, 0.019526
s20e400.in, par_grid, 10, 8, 0.0125536
s20e400.in, par_grid, 300, 1, 0.741152
s20e400.in, par_grid, 300, 2, 0.543102
s20e400.in, par_grid, 300, 4, 1.23372
s20e400.in, par_grid, 300, 8, 1.31589
s20e400.in, par_grid, 500, 1, 1.04055
s20e400.in, par_grid, 500, 2, 1.11358
s20e400.in, par_grid, 500, 4, 1.46808
s20e400.in, par_grid, 500, 8, 2.23235
s20e400.in, par_grid, 1000, 1, 2.43147
s20e400.in, par_grid, 1000, 2, 2.68118
s20e400.in, par_grid, 1000, 4, 5.24752
s20e400.in, par_grid, 1000, 8, 2.18825
s20e400.in, par_grid, 2000, 1, 5.93435
s20e400.in, par_grid, 2000, 2, 4.38088
s20e400.in, par_grid, 2000, 4, 3.24639
s20e400.in, par_grid, 2000, 8, 3.95812
s150e10k.in, par_grid, 10, 1, 0.0595104
s150e10k.in, par_grid, 10, 2, 0.0753876
s150e10k.in, par_grid, 10, 4, 0.0744048
s150e10k.in, par_grid, 10, 8, 0.025752
s150e10k.in, par_grid, 300, 1, 0.332897
s150e10k.in, par_grid, 300, 2, 0.29171
s150e10k.in, par_grid, 300, 4, 0.688208
s150e10k.in, par_grid, 300, 8, 1.15527
s150e10k.in, par_grid, 500, 1, 0.663847
s150e10k.in, par_grid, 500, 2, 0.89463
s150e10k.in, par_grid, 500, 4, 0.820501
s150e10k.in, par_grid, 500, 8, 1.24645
s150e10k.in, par_grid, 1000, 1, 1.62372
s150e10k.in, par_grid, 1000, 2, 1.48198
s150e10k.in, par_grid, 1000, 4, 2.14834
s150e10k.in, par_grid, 1000, 8, 1.6008
s150e10k.in, par_grid, 2000, 1, 3.25515
s150e10k.in, par_grid, 2000, 2, 1.48731
s150e10k.in, par_grid, 2000, 4, 1.78444
s150e10k.in, par_grid, 2000, 8, 2.2482
s200e50k.in, par_grid, 10, 1, 0.230232
s200e50k.in, par_grid, 10, 2, 0.231561
s200e50k.in, par_grid, 10, 4, 0.185634
s200e50k.in, par_grid, 10, 8, 0.193142
s200e50k.in, par_grid, 300, 1, 0.757626
s200e50k.in, par_grid, 300, 2, 1.17575
s200e50k.in, par_grid, 300, 4, 1.05171
s200e50k.in, par_grid, 300, 8, 1.10834
s200e50k.in, par_grid, 500, 1, 1.58144
s200e50k.in, par_grid, 500, 2, 1.65608
s200e50k.in, par_grid, 500, 4, 1.80928
s200e50k.in, par_grid, 500, 8, 1.65901
s200e50k.in, par_grid, 1000, 1, 3.11865
s200e50k.in, par_grid, 1000, 2, 3.77703
s200e50k.in, par_grid, 1000, 4, 4.04239
s200e50k.in, par_grid, 1000, 8, 3.21262
s200e50k.in, par_grid, 2000, 1, 6.31499
s200e50k.in, par_grid, 2000, 2, 5.11719
s200e50k.in, par_grid, 2000, 4, 6.34483
s200e50k.in, par_grid, 2000, 8, 6.85992
s500e300k.in, par_grid, 10, 1, 0.804083
s500e300k.in, par_grid, 10, 2, 0.849446
s500e300k.in, par_grid, 10, 4, 0.823066
s500e300k.in, par_grid, 10, 8, 0.980681
s500e300k.in, par_grid, 300, 1, 3.75475
s500e300k.in, par_grid, 300, 2, 5.00142
s500e300k.in, par_grid, 300, 4, 5.32569
s500e300k.in, par_grid, 300, 8, 3.34303
s500e300k.in, par_grid, 500, 1, 5.70521
s500e300k.in, par_grid, 500, 2, 4.6265
s500e300k.in, par_grid, 500, 4, 7.00696
s500e300k.in, par_grid, 500, 8, 6.8257
s500e300k.in, par_grid, 1000, 1, 10.2396
s500e300k.in, par_grid, 1000, 2, 14.5958
s500e300k.in, par_grid, 1000, 4, 14.0858
s500e300k.in, par_grid, 1000, 8, 10.4191
s500e300k.in, par_grid, 2000, 1, 20.334
s500e300k.in, par_grid, 2000, 2, 16.9112
s500e300k.in, par_grid, 2000, 4, 14.1353
s500e300k.in, par_grid, 2000, 8, 14.6233
