datafile, filename, generations, threads, average_time
s5e50.in, seq_grid, 10, 1, 1.95946
s5e50.in, seq_grid, 300, 1, 1.9877
s5e50.in, seq_grid, 500, 1, 1.98772
s5e50.in, seq_grid, 1000, 1, 1.98779
s5e50.in, seq_grid, 2000, 1, 1.98791
s20e400.in, seq_grid, 10, 1, 10.2355
s20e400.in, seq_grid, 300, 1, 9.49127
s20e400.in, seq_grid, 500, 1, 9.47961
s20e400.in, seq_grid, 1000, 1, 9.49199
s20e400.in, seq_grid, 2000, 1, 9.48032
s150e10k.in, seq_grid, 10, 1, 47.5975
s150e10k.in, seq_grid, 300, 1, 47.3741
s150e10k.in, seq_grid, 500, 1, 47.3742
s150e10k.in, seq_grid, 1000, 1, 47.3747
s150e10k.in, seq_grid, 2000, 1, 47.3755
s200e50k.in, seq_grid, 10, 1, 98.8671
s200e50k.in, seq_grid, 300, 1, 98.9117
s200e50k.in, seq_grid, 500, 1, 98.912
s200e50k.in, seq_grid, 1000, 1, 98.9124
s200e50k.in, seq_grid, 2000, 1, 98.9138
s500e300k.in, seq_grid, 10, 1, 250.914
s500e300k.in, seq_grid, 300, 1, 250.731
s500e300k.in, seq_grid, 500, 1, 250.731
s500e300k.in, seq_grid, 1000, 1, 250.732
s500e300k.in, seq_grid, 2000, 1, 250.735
