datafile, filename, generations, threads, average_time
s5e50.in, seq_grid_list, 10, 1, 0.0003068
s5e50.in, seq_grid_list, 300, 1, 0.0059208
s5e50.in, seq_grid_list, 500, 1, 0.0089284
s5e50.in, seq_grid_list, 1000, 1, 0.0188222
s5e50.in, seq_grid_list, 2000, 1, 0.03396
s20e400.in, seq_grid_list, 10, 1, 0.004805
s20e400.in, seq_grid_list, 300, 1, 1.65702
s20e400.in, seq_grid_list, 500, 1, 2.79646
s20e400.in, seq_grid_list, 1000, 1, 5.77861
s20e400.in, seq_grid_list, 2000, 1, 12.078
s150e10k.in, seq_grid_list, 10, 1, 0.0562998
s150e10k.in, seq_grid_list, 300, 1, 0.496181
s150e10k.in, seq_grid_list, 500, 1, 0.797055
s150e10k.in, seq_grid_list, 1000, 1, 1.50179
s150e10k.in, seq_grid_list, 2000, 1, 3.08311
s200e50k.in, seq_grid_list, 10, 1, 0.485512
s200e50k.in, seq_grid_list, 300, 1, 2.12432
s200e50k.in, seq_grid_list, 500, 1, 3.20703
s200e50k.in, seq_grid_list, 1000, 1, 6.92729
s200e50k.in, seq_grid_list, 2000, 1, 14.6542
s500e300k.in, seq_grid_list, 10, 1, 4.01875
s500e300k.in, seq_grid_list, 300, 1, 10.8338
s500e300k.in, seq_grid_list, 500, 1, 15.3665
s500e300k.in, seq_grid_list, 1000, 1, 31.3069
s500e300k.in, seq_grid_list, 2000, 1, 63.0229
